Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
,,,,,,,,15,26666.6899,20445.39608,31659.69509,47189.40694,27169.93889,37110.94284,17891.86253,31290.15296,47434.606,50976.45845,13588.09062,11352.70905,19463.86108,18799.05875,50383.59077,55219.25844,26292.54377,14483.9213,10550.31836,22065.26605,36597.79854,38226.53058,43848.68294,27497.82118,67346.6154,3306.657096
,,,,,,,,16,27738.97471,21524.21357,33338.07903,47327.76584,27210.08509,37624.58911,18296.99158,31768.53126,48095.62112,53421.6348,13663.34033,11399.85735,19675.5011,19121.00166,51512.14308,56313.67251,26464.10849,14684.52963,10720.84071,22440.32443,37832.43516,39266.78335,44606.94279,28188.65067,67619.39963,3316.686387
,,,,,,,,17,27692.83336,21682.62729,33583.72064,49323.94382,27677.78822,39074.23531,19010.98138,32357.22741,49413.63915,53319.29258,13776.71655,11464.0593,20409.72147,20449.89372,55584.96296,59074.28434,27167.4235,15067.69153,10948.53821,22808.363,41607.55474,41692.36791,46911.81203,28520.52957,68103.79221,3341.759613
,,,,,,,,18,27996.76441,21982.41021,34048.93578,51405.34287,28900.23976,41359.55992,20397.84641,33531.61104,53563.2895,52970.12501,14101.79529,11705.81973,21616.37053,21000.50636,57738.74234,60755.52904,27679.10775,16137.93696,11519.28656,23838.2693,41132.15446,44049.73918,49370.13862,28878.47751,69807.69076,3434.029087
,,,,,,,,19,28746.05978,22446.62257,34773.8292,50456.88261,32821.51903,43293.75914,21213.11848,33592.7873,54594.43297,53996.55726,15562.64296,12920.64086,23448.91235,22426.68335,60106.19429,64409.92907,29333.55347,16712.67982,11923.52484,24298.56822,43353.698,45255.5095,50768.3056,29846.03986,71486.51724,3506.239979
,,,,,,,,20,30676.97488,23521.42958,36447.20005,49370.06346,33133.65567,44515.67546,21074.73282,36961.49319,56671.76579,58483.5612,15597.75949,12947.72605,23515.11255,21865.03841,58917.45253,63822.0953,29665.64658,18059.76475,12572.51286,27357.19938,42350.7438,46210.49565,51576.71492,31608.70785,80853.44631,3968.590273
,,,,,,,,21,31814.45942,25414.37328,39377.85491,46008.34332,31913.21144,43497.41186,20206.31263,37042.72724,55202.28603,59734.74499,15121.178,12602.64061,22688.61312,20716.67507,56206.92067,61515.90105,32115.71114,17956.45146,12415.03045,27416.36634,39493.3273,44704.78745,49295.91742,33620.03435,82006.76199,4027.763087
,,,,,,,,22,32989.05764,27145.89539,42063.87078,41557.79884,30944.68457,41543.14833,19088.19657,35753.01132,51995.51007,62666.54855,14774.02602,12349.84547,21957.40185,19289.49514,53169.35944,58394.16267,30974.95627,17113.89648,11788.11003,26316.26195,36466.41154,42540.01843,46022.16059,34129.38323,79315.02348,3882.338374
,,,,,,,,23,32222.71004,26636.56521,41274.80976,37067.15032,29791.48521,39335.07131,17744.45171,34205.55279,48956.24476,61460.51574,14302.46118,12013.78843,21213.15114,17636.6543,49572.03627,54504.02726,29086.74107,16243.25634,11121.06671,25052.69629,32687.28014,39500.5142,42252.92708,33097.65095,75879.14565,3702.814073
,,,,,,,,24,30637.85504,25228.88886,39082.08236,32549.43159,27755.06964,36539.11008,16101.87404,32091.46169,45016.23351,57141.0721,13564.01071,11459.04352,19980.42322,15715.02623,45125.0386,49965.87031,27255.71412,15036.59724,10225.32281,23127.26291,29103.72481,36003.57963,37963.14217,31110.38817,70425.46681,3426.005654
,,,,,,,,25,28541.43293,23751.02922,36783.07736,27706.87022,22877.30735,33149.24536,14280.79892,29372.6282,40833.48225,52830.65865,12050.98992,10414.7588,18280.28179,13389.21438,39424.09392,44925.14559,24669.20042,13664.43628,9225.259357,20899.97772,24576.38957,31574.73106,32718.51151,28606.75793,63623.91297,3079.99513
,,,,,,,,26,26249.41162,21653.55135,33524.56613,24911.61949,21518.35876,30258.98189,13141.62417,25265.79563,34338.68263,47293.14194,11430.93232,9864.026518,17003.42041,12854.64874,38217.29532,43579.9492,21963.29374,11674.40166,7892.175777,17571.58532,24117.03655,29464.13142,29732.61259,25747.18505,54249.96371,2584.548176
,,,,,,,,27,23053.62174,18994.60714,29406.81056,24291.00965,20694.35817,29796.4996,12845.79974,24530.67761,33087.86949,41116.48803,10968.39745,9475.805399,16682.44975,12720.25513,37639.47654,43083.4002,17485.55494,11343.39792,7600.281629,16777.34405,24237.39106,29366.82716,29428.70685,22317.10133,51841.03827,2468.208406
,,,,,,,,28,19579.9807,15512.51315,24040.79453,24376.23071,20605.03289,29788.47388,12823.73826,24109.46401,32399.7718,33222.09022,10802.84809,9300.253214,16549.04632,13054.23329,38302.56372,43566.90852,17308.97372,11243.09375,7533.07576,16457.44131,25491.0838,29793.16027,30018.46451,19837.53481,50963.51547,2426.085386
,,,,,,,,29,19216.86835,14804.6645,22943.92952,25306.64416,20500.6528,30326.19731,12969.14349,24294.99857,32816.04081,32356.19478,10696.49517,9182.884038,16690.47402,13450.39356,39386.97709,44467.71863,17562.80923,11474.79637,7616.330792,16492.54036,27177.0498,30812.34716,31332.3804,19440.48331,51468.96861,2458.179115
,,,,,,,,30,19055.37363,14348.47309,22240.09109,27731.93524,21384.87267,31340.44805,13475.5548,24634.97812,33205.22726,31776.25555,10889.13442,9323.325787,17060.5933,14626.83914,42212.87207,47016.67018,17733.37065,11692.45641,7712.625769,16647.97899,30947.15461,33032.2887,34014.37359,19435.47004,52572.14012,2514.343143
,,,,,,,,31,19336.23401,14356.49404,22251.1199,30633.46166,22729.77009,33468.26784,14596.67924,26345.90764,35309.64264,32612.05033,11360.69926,9655.370206,18000.4355,16130.24231,46202.42987,50864.67416,17672.1692,12381.54602,8095.799529,17738.05508,34660.09104,36028.65805,37946.09135,19871.62509,56631.81131,2719.943599
,,,,,,,,32,19773.57375,14479.81611,22442.6201,35696.59517,23921.10833,36259.21299,16423.77113,28308.56243,38366.96298,33771.92881,12128.24628,10290.36754,19250.21498,17830.22122,49606.14362,55855.24242,18447.72199,13376.56333,8779.895091,19393.72723,38183.46912,38930.73255,41797.56997,20865.25647,63522.62176,3090.02442
,,,,,,,,33,21052.49154,15332.04182,23765.07435,39706.99795,23950.21432,38163.31576,17266.11865,31170.80911,43053.24928,37071.96368,12592.78781,10726.74012,20758.77706,18607.49771,50991.50428,57411.09596,19906.52374,14362.55326,9722.783402,21411.42097,38764.1796,40843.71426,44463.51533,22438.42262,69554.9642,3386.891421
,,,,,,,,34,22800.8474,16684.57416,25876.58962,41475.58558,24394.83339,38548.55046,17561.94308,31886.87223,44633.06541,42855.3024,12863.68676,11044.74036,21051.66278,19128.02222,51931.46296,58437.29723,21122.52629,14590.24371,9987.594587,21912.83591,38109.25051,41355.31398,45148.55697,24477.82346,70893.81327,3442.052519
,,,,,,,,35,24044.65765,17942.86035,27828.6885,42358.87679,25384.43702,39079.25139,18104.455,31671.25098,45126.56987,47372.40699,13501.80429,11565.37799,21478.95496,19378.75657,53450.24357,60081.42615,21665.31291,14688.54179,9988.597659,22053.23209,37461.3421,41661.27067,45032.21022,25630.87704,70300.10641,3388.897279
,,,,,,,,36,24206.15237,18627.64877,28882.4409,43828.68941,26425.22704,39790.53108,18468.46947,31144.73398,45670.22723,48419.9097,14102.79862,12076.98721,21890.19862,19914.32515,54794.47476,61516.90418,21305.12734,14922.25049,10136.04934,21936.90383,37905.65081,42370.48833,45535.71081,25845.44527,69923.02233,3374.856272
,,,,,,,,37,24274.36132,19091.86113,29586.27933,44777.14967,27195.03026,40452.65322,19091.20496,31831.7133,46766.56947,47651.3397,14588.41007,12484.26828,21937.34118,20352.6088,56089.55123,62894.2007,21424.52033,15193.07174,10293.53175,22514.53384,38348.95657,43336.50898,46193.67175,25744.17709,70774.47017,3415.976364
